Fragment.ID	GSM27015.26.M	GSM27016.26.M	GSM27018.29.M	GSM27021.37.M	GSM27023.40.M	GSM27024.42.M	GSM27025.45.M	GSM27027.52.M	GSM27028.53.M	GSM27031.66.M	GSM27032.70.M	GSM27034.73.M	GSM27035.77.M	GSM27036.80.M	GSM27038.85.M	GSM27040.90.M	GSM27042.91.M	GSM27043.95.M	GSM27017.27.F	GSM27019.30.F	GSM27020.36.F	GSM27022.38.F	GSM27026.48.F	GSM27029.56.F	GSM27030.61.F	GSM27033.71.F	GSM27037.81.F	GSM27039.87.F	GSM27041.90.F	GSM27044.106.F
32423_at	212.147	173.944	199.28	203.846	232.161	213.542	124.688	135.32	160.214	161.961	175.53	140.672	200.242	197.712	146.617	176.907	232.052	201.767	230.15	235.645	184.25	202.156	166.164	224.308	183.715	158.142	166.667	165.836	177.883	184.562
32424_at	71.9583	86.5103	64.3922	65.3195	67.3632	92.4283	77.1766	90.97	64.3268	54.8697	74.4978	64.9224	81.823	61.9197	79.3846	92.1403	63.932	29.662	42.9538	94.1817	64.8961	90.449	62.208	75.442	119.507	71.2833	105.718	85.1575	55.733	40.0378
32425_at	76.8533	60.494	70.7521	77.103	110.825	95.4855	100.041	54.1898	118.201	76.429	94.1082	75.9084	74.1606	56.7174	56.9083	84.1165	77.142	70.1954	73.6992	92.2609	79.4902	74.8143	60.9694	75.8999	81.5051	92.0195	68.5634	98.5353	61.8004	81.6715
32426_f_at	134.338	97.7883	144.764	122.547	120.934	118.614	137.26	91.8206	121.056	136.404	157.444	123.297	143.608	157.582	79.613	77.9234	155.75	159.166	129.91	137.734	143.868	139.891	100.089	153.93	130.678	85.427	103.085	141.131	80.6596	140.441
32427_at	96.5333	80.2307	115.289	131.843	134.372	108.213	118.216	76.5846	133.999	95.1217	131.569	100.512	123.319	107.337	66.6149	130.628	106.084	102.478	93.6154	117.985	85.6324	113.108	101.023	89.3297	117.037	124.558	104.748	105.545	64.5907	75.6085
32428_at	645.756	327.605	697.802	745.578	593.062	781.773	575.031	458.207	651.387	502.506	590.181	635.799	555.004	436.085	481.071	636.822	637.196	454.683	786.799	523.77	457.745	557.448	524.643	673.819	561.961	457.343	568.307	570.544	399.572	526.328
32429_f_at	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	25.9892	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
32430_at	753.365	491.272	692.568	685.482	474.897	596.219	576.475	383.964	538.099	517.265	718.456	501.405	761.287	605.281	574.97	671.103	723.611	407.769	363.571	709.226	583.428	533.646	580.845	632.229	534.936	621.831	707.06	636.198	399.462	445.378
32431_at	31.9682	24.192	3.3185	48.0424	57.4922	47.3175	39.3991	13.8989	54.8241	30.7533	57.2893	59.8584	42.4208	54.4999	52.8286	37.4573	41.2659	78.3068	46.3489	43.0582	44.3427	46.7012	42.0288	19.424	27.5281	53.9392	34.0977	48.1415	39.2123	56.4181
32432_f_at	3186.52	3224.58	2658.18	3040.11	2212.11	1894.86	2704.31	3364.57	2642.24	3427.93	2123.64	2410.34	2373.34	2258.31	3026.41	2466.94	2543.42	2411.77	2967.43	2692.17	2735.88	3154.02	2790.01	2682.1	2260.33	2290.75	3060.04	2546.17	2148.95	2091.02
32433_at	309.508	293.989	208.512	240.923	185.729	199.691	251.656	247.893	235.577	246.252	206.687	180.848	320.189	173.297	236.605	237.867	194.388	104.599	171.665	237.205	196.722	211.33	233.204	292.004	204.349	215.971	386.759	207.264	132.871	234.944
32434_at	864.794	1033.97	773.684	910.161	753.896	757.546	803.847	986.767	725.068	891.167	904.496	976.967	1286.21	905.739	1126.47	986.536	870.628	1137.21	1370.73	942.516	921.421	789.105	922.584	1020.34	961.812	830.975	1162.06	818.892	579.165	797.188
32435_at	3028.59	3369.96	2335.39	2873.3	2544.25	2664.98	2759.56	3520.12	2548.93	3811.92	2764.16	3557.57	3094.2	2629.95	3098.69	3339.35	2795.82	3441.96	2531.65	2331.22	3151.21	2859.62	2814.75	2665.75	2912.8	2684.08	4084.98	3138.86	2504.69	3702.46
32436_at	3005.71	2885.17	1883.16	2823.29	1713.58	1855.36	2280.49	3335.48	2205.91	3508.56	2531.6	3395.8	2645.98	1955.52	3064.41	3302.14	2199.35	2458.14	1208.69	1539.9	2527.61	2265.07	2675.89	2256.17	2183.76	2333.23	3769.81	2324.23	1862.38	2734.25
32437_at	2531.75	2669.1	1621.95	1781.47	1735.51	1585.72	1635.05	2776.55	1748.07	2806.46	1662.08	1748.59	1625.45	1468.21	2086.25	2016.37	1553.53	1923.33	1551.62	1596	2069.95	1767.01	1088.42	1740.96	1811.79	1841.68	2346.13	2050.39	1543.87	1810.19
